InspectionID,Facility_ID,Facility_Name,Facility_Address,Facility_Address_2,Facility_City,Facility_State,Facility_Postal_Code,Facility_County,Venue_Type,Inspection_Date,Inspection_Score,Inspection_Purpose,Inspection_Passed,No_Imminent_Health_Hazards,Disinfectant,Free_Chlorine,Free_Bromine,pH,Enclosure,Main_Drain_Visible,Safety_Equipment,Disinfectant_Level,pH_Balance,Inspection_Notes,OBJECTID
1347991,72868,RESIDENCE INN,333 E. MARKET ST,,LOUISVILLE,KY,40202,JEFFERSON,HOT TUB / SPA,2018/01/02,85,FOLLOW-UP,FALSE,TRUE,CHLORINE,3,,7.5999999,TRUE,TRUE,FALSE,TRUE,TRUE," other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair| other - flow meter: installation, accessibility, operating, good repair| other - recirculating piping:  identified, approved materials, good repair| other - disinfectant combined residual| other - operator testing frequency, log sheets maintained| Safety Equipment - first aid, safety equipment, spa timer switch, telephone: readily accessible, adequate, maintained, good repair",0
1347992,72869,RESIDENCE INN,333 E. MARKET ST,,LOUISVILLE,KY,40202,JEFFERSON,POOL,2018/01/02,81,FOLLOW-UP,FALSE,TRUE,CHLORINE,1,,7.5999999,TRUE,TRUE,FALSE,TRUE,TRUE," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair| other - pumps, approved type, capacity, gauges, valving, strainer, operating, good repair| other - recirculating piping:  identified, approved materials, good repair| other - disinfectant combined residual| other - operator testing frequency, log sheets maintained| Safety Equipment - first aid, safety equipment, spa timer switch, telephone: readily accessible, adequate, maintained, good repair| other - bathing suits, towels, other items provided by facility: properly cleaned,stored",1
1348816,102015,THE PARK AT HURSTBOURNE APTS -VARSITY CLUB,6121 BIG BEN DR,,FERN CREEK,KY,40291,JEFFERSON,POOL,2018/01/04,92,ROUTINE,FALSE,TRUE,CHLORINE,2.5999999,,7.6999998,TRUE,TRUE,TRUE,TRUE,TRUE," other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair| other - turover rate ~ hrs.(min.)| other - chemicals stock: adequate, fresh, storage, usage",2
1348816,102015,THE PARK AT HURSTBOURNE APTS -VARSITY CLUB,6121 BIG BEN DR,,FERN CREEK,KY,40291,JEFFERSON,POOL,2018/01/04,92,ROUTINE,TRUE,TRUE,CHLORINE,2.5999999,,7.6999998,TRUE,TRUE,TRUE,TRUE,TRUE," other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair| other - turover rate ~ hrs.(min.)| other - chemicals stock: adequate, fresh, storage, usage",3
1348859,66119,DRURY INN & SUITES,9501 BLAIRWOOD RD,,LOUISVILLE,KY,40222,JEFFERSON,HOT TUB / SPA,2018/01/04,95,FOLLOW-UP,FALSE,TRUE,BROMINE,,7.1999998,,TRUE,TRUE,TRUE,FALSE,TRUE," other - flow meter: installation, accessibility, operating, good repair| Disinfectant Level - disinfectant free residual",4
1348859,66119,DRURY INN & SUITES,9501 BLAIRWOOD RD,,LOUISVILLE,KY,40222,JEFFERSON,HOT TUB / SPA,2018/01/04,95,FOLLOW-UP,TRUE,TRUE,BROMINE,,7.1999998,,TRUE,TRUE,TRUE,TRUE,TRUE," other - flow meter: installation, accessibility, operating, good repair| Disinfectant Level - disinfectant free residual",5
1349222,89549,MIRALEA,320 JOE CONWAY CIR,,MASONIC HOME,KY,40041,JEFFERSON,HOT TUB / SPA,2018/01/05,89,ROUTINE,FALSE,TRUE,CHLORINE,5,,7.4000001,TRUE,TRUE,TRUE,FALSE,TRUE," other - pumps, approved type, capacity, gauges, valving, strainer, operating, good repair| other - ph control, chemical feed equipment: types ~| Disinfectant Level - disinfectant free residual| other - total alkalinity (50-180 ppm)",6
1349222,89549,MIRALEA,320 JOE CONWAY CIR,,MASONIC HOME,KY,40041,JEFFERSON,HOT TUB / SPA,2018/01/05,89,ROUTINE,TRUE,TRUE,CHLORINE,5,,7.4000001,TRUE,TRUE,TRUE,TRUE,TRUE," other - pumps, approved type, capacity, gauges, valving, strainer, operating, good repair| other - ph control, chemical feed equipment: types ~| Disinfectant Level - disinfectant free residual| other - total alkalinity (50-180 ppm)",7
1349223,89550,MIRALEA,320 JOE CONWAY CIR,,MASONIC HOME,KY,40041,JEFFERSON,POOL,2018/01/05,89,ROUTINE,FALSE,TRUE,CHLORINE,5.5,,8,TRUE,TRUE,TRUE,FALSE,FALSE," other - ph control, chemical feed equipment: types ~| Disinfectant Level - disinfectant free residual| pH Balance - ph(7.2-7.8)| other - toilet, shower, locker facilities: clean, lighting, ventilation, good repair",8
1349223,89550,MIRALEA,320 JOE CONWAY CIR,,MASONIC HOME,KY,40041,JEFFERSON,POOL,2018/01/05,89,ROUTINE,TRUE,TRUE,CHLORINE,5.5,,8,TRUE,TRUE,TRUE,TRUE,TRUE," other - ph control, chemical feed equipment: types ~| Disinfectant Level - disinfectant free residual| pH Balance - ph(7.2-7.8)| other - toilet, shower, locker facilities: clean, lighting, ventilation, good repair",9
